tenant_id,history_id,member_id,project_id,project_name,project_type,allocation_role,task_title,task_summary,total_logged_hours,skill_tags,completed_at,evidence_confidence,source,synced_at,source_version,embedding_text,embedding_source_hash
00000000-0000-0000-0000-000000000001,EMP-002-PRJ-002-warehouse-modelling,EMP-002,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DE,Warehouse modelling,Design staging and mart tables for analytics,22.4,python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,2026-07-09T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Warehouse modelling | Design staging and mart tables for analytics | python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,4c818a4cfb5d03f099aa38dc0f40fb05fb80d28be15081454d713a5c2f9118c4
00000000-0000-0000-0000-000000000001,EMP-002-PRJ-002-pipeline-operations,EMP-002,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DE,Pipeline operations,On-call support and incident triage for data jobs,16.8,python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,2026-07-27T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Pipeline operations | On-call support and incident triage for data jobs | python|spark|etl|data-pipeline|sql|airflow|data-platform|ml-platform,37d5833fc382ed7e96d76dbed310a1e64990c552b61fb88b6a762df1a8b6843e
00000000-0000-0000-0000-000000000001,EMP-003-PRJ-002-model-training-&-evaluation,EMP-003,PRJ-002,Energent AI (Data Platform),AI/ML Platform,ML,Model training & evaluation,"Train, tune, and benchmark ML models",68.6,python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,2026-08-03T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,"Model training & evaluation | Train, tune, and benchmark ML models | python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform",995187b10a0cb8d9c464d0df4c80aee066a8cf23e042d81631a5515704c32372
00000000-0000-0000-0000-000000000001,EMP-003-PRJ-002-feature-engineering,EMP-003,PRJ-002,Energent AI (Data Platform),AI/ML Platform,ML,Feature engineering,Prepare training features from raw platform data,58.8,python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,2026-07-11T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Feature engineering | Prepare training features from raw platform data | python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,2a4ce8dfa4cfab42b0c4327c6fb50c48b501c9fcbb515fc1445973116fb9b5d7
00000000-0000-0000-0000-000000000001,EMP-003-PRJ-002-mlops-deployment,EMP-003,PRJ-002,Energent AI (Data Platform),AI/ML Platform,ML,MLOps deployment,Package models and wire inference endpoints,39.2,python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,2026-07-01T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,MLOps deployment | Package models and wire inference endpoints | python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,3ef9c8c29536cd753d3292cd348d661f1e1bf61fbb10091bc5430a5c63d2966d
00000000-0000-0000-0000-000000000001,EMP-003-PRJ-002-experiment-tracking,EMP-003,PRJ-002,Energent AI (Data Platform),AI/ML Platform,ML,Experiment tracking,Document experiments and share results with stakeholders,29.4,python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,2026-08-01T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Experiment tracking | Document experiments and share results with stakeholders | python|pytorch|mlops|feature-engineering|model-training|scikit-learn|data-platform|ml-platform,a085ca9a64d167a56115e87b3c211a86b506ab788c9ad9458322f67d9e314892
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-001-api-endpoint-implementation,EMP-004,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,API endpoint implementation,Build and test REST APIs for core services,65.1,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-07-11T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,API endpoint implementation | Build and test REST APIs for core services | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,f3e46ff853880de24c542f28e90a513c99e4c13d97536c56b713a8232ea1903b
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-001-service-integration,EMP-004,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,Service integration,Integrate backend services with downstream systems,55.8,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-08-06T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Service integration | Integrate backend services with downstream systems | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,3ae315390716319ab4ac8aafbd335b0bbcd4f670f08a71b134102cbb6098d9b6
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-001-bug-fixes-&-code-review,EMP-004,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,Bug fixes & code review,Triage defects and review peer pull requests,37.2,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-07-14T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Bug fixes & code review | Triage defects and review peer pull requests | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,086f2a097655dd51eb163a46b6a70859edcd425f18c115a8dbbdb34084d77c03
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-002-api-endpoint-implementation,EMP-004,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BE,API endpoint implementation,Build and test REST APIs for core services,36.4,java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,2026-08-06T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,API endpoint implementation | Build and test REST APIs for core services | java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,7743e723454ab842de6fe765ffc798741c6ca88a4c350e65c43bf4546159702a
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-002-service-integration,EMP-004,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BE,Service integration,Integrate backend services with downstream systems,31.2,java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,2026-06-30T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Service integration | Integrate backend services with downstream systems | java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,507bd09eb95d33c1e97f8fa9b97421da9d03983680e98df238dc9aac7dc190ca
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-001-database-migration-support,EMP-004,PRJ-001,Project Orion (Core Banking),Software/Migration,BE,Database migration support,Support schema changes and data migration scripts,27.9,java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,2026-07-21T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Database migration support | Support schema changes and data migration scripts | java|spring-boot|rest-api|microservices|sql|postgresql|legacy-migration|core-banking,114c6e3d01d648ab7652b71b9559f6b5020164c6cbd98d4b541790555f0c0c71
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-002-bug-fixes-&-code-review,EMP-004,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BE,Bug fixes & code review,Triage defects and review peer pull requests,20.8,java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,2026-07-04T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Bug fixes & code review | Triage defects and review peer pull requests | java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,afc5a4fb5aa4079bc4bbb916a2092e2ae02937990e105f1bd18c4a75ee6912b8
00000000-0000-0000-0000-000000000001,EMP-004-PRJ-002-database-migration-support,EMP-004,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BE,Database migration support,Support schema changes and data migration scripts,15.6,java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,2026-07-12T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Database migration support | Support schema changes and data migration scripts | java|spring-boot|rest-api|microservices|sql|postgresql|data-platform|ml-platform,d838796c7b73dcc89ba859d2684d14194f691c6345fc99e97b9c6ff6997326bb
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-001-ci/cd-pipeline-maintenance,EMP-005,PRJ-001,Project Orion (Core Banking),Software/Migration,DevOps,CI/CD pipeline maintenance,Keep build and deploy pipelines green,21,kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,2026-07-01T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,CI/CD pipeline maintenance | Keep build and deploy pipelines green | kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,f5f72aa2182006e2bb002c8a6536e81ee60e7ac50774dfafab259ac1cbb18c77
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-001-infrastructure-as-code,EMP-005,PRJ-001,Project Orion (Core Banking),Software/Migration,DevOps,Infrastructure as code,Manage Terraform modules and environment drift,21,kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,2026-07-23T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Infrastructure as code | Manage Terraform modules and environment drift | kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,d6b5576f52a8e124f6c9b6b459baa3fe509bab1248798f32d7913d421f55c959
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-002-ci/cd-pipeline-maintenance,EMP-005,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DevOps,CI/CD pipeline maintenance,Keep build and deploy pipelines green,21,kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,2026-06-30T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,CI/CD pipeline maintenance | Keep build and deploy pipelines green | kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,f3abacb70e32d36cb9cfb697c884414f2ffbc628ba23c8d2d72eb1dfdede86af
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-002-infrastructure-as-code,EMP-005,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DevOps,Infrastructure as code,Manage Terraform modules and environment drift,21,kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,2026-08-03T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Infrastructure as code | Manage Terraform modules and environment drift | kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,ba364228292a603fbff4c36fac749ff51cece159fd6220df6ac065ce1d50b507
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-001-observability-&-alerting,EMP-005,PRJ-001,Project Orion (Core Banking),Software/Migration,DevOps,Observability & alerting,Configure dashboards and on-call alerts,14,kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,2026-07-17T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Observability & alerting | Configure dashboards and on-call alerts | kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,8d9c3c5120992c22d8b80b8f45072cf661d29dc49c7ea422298bb5f6a35182d5
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-001-environment-provisioning,EMP-005,PRJ-001,Project Orion (Core Banking),Software/Migration,DevOps,Environment provisioning,Spin up and tear down non-prod environments,14,kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,2026-08-05T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Environment provisioning | Spin up and tear down non-prod environments | kubernetes|terraform|ci-cd|aws|monitoring|docker|legacy-migration|core-banking,78fd2ed23d3fa784d77b0f890a3577cdaa6661bfb9bbb4867cff8e4da3a7394e
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-002-observability-&-alerting,EMP-005,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DevOps,Observability & alerting,Configure dashboards and on-call alerts,14,kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,2026-07-10T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Observability & alerting | Configure dashboards and on-call alerts | kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,f61352854b8f72526bc635f3547c792eff4ae66e0b791f74629513fa43064575
00000000-0000-0000-0000-000000000001,EMP-005-PRJ-002-environment-provisioning,EMP-005,PRJ-002,Energent AI (Data Platform),AI/ML Platform,DevOps,Environment provisioning,Spin up and tear down non-prod environments,14,kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,2026-08-03T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Environment provisioning | Spin up and tear down non-prod environments | kubernetes|terraform|ci-cd|aws|monitoring|docker|data-platform|ml-platform,7404193e16415a87b7ec14584d2ad1e87eab13e74cbbfb28e5e5b3692caac482
00000000-0000-0000-0000-000000000001,EMP-006-PRJ-001-security-review,EMP-006,PRJ-001,Project Orion (Core Banking),Software/Migration,Sec,Security review,Review designs and code for security risks,98.7,security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,2026-07-16T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Security review | Review designs and code for security risks | security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,77e5787ca639d3418dc28f8d26e0bfb528fd0eb76fcf1e2fe657575e6a2bedc0
00000000-0000-0000-0000-000000000001,EMP-006-PRJ-001-vulnerability-remediation,EMP-006,PRJ-001,Project Orion (Core Banking),Software/Migration,Sec,Vulnerability remediation,Track and verify fixes for findings,84.6,security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,2026-07-31T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Vulnerability remediation | Track and verify fixes for findings | security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,be03e0b59ec3b1e83728d87f3d6fa79592d60cba5d803cccf2c0d8e343141a7d
00000000-0000-0000-0000-000000000001,EMP-006-PRJ-001-compliance-evidence,EMP-006,PRJ-001,Project Orion (Core Banking),Software/Migration,Sec,Compliance evidence,Collect audit evidence for control frameworks,56.4,security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,2026-07-23T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Compliance evidence | Collect audit evidence for control frameworks | security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,df8b5df65afe58db992f9c0de7503f91dee8cee56658013331c8a241dcf8e79a
00000000-0000-0000-0000-000000000001,EMP-006-PRJ-001-threat-modelling,EMP-006,PRJ-001,Project Orion (Core Banking),Software/Migration,Sec,Threat modelling,Facilitate STRIDE sessions for new features,42.3,security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,2026-07-14T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Threat modelling | Facilitate STRIDE sessions for new features | security-audit|owasp|penetration-testing|compliance|iam|legacy-migration|core-banking,3550da1341fbfc7d5230174396a766135e4798a7f1c2aa5e22940e42b6f12ccc
00000000-0000-0000-0000-000000000001,EMP-007-PRJ-002-high-fidelity-ui-design,EMP-007,PRJ-002,Energent AI (Data Platform),AI/ML Platform,Design,High-fidelity UI design,Deliver pixel-ready screens in Figma,32.2,figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,2026-07-28T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,High-fidelity UI design | Deliver pixel-ready screens in Figma | figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,d2aafc14f22355472970b3b2df0e7e8589a3862829f95a1e3d0ba48a08022e29
00000000-0000-0000-0000-000000000001,EMP-007-PRJ-002-ux-research-&-wireframes,EMP-007,PRJ-002,Energent AI (Data Platform),AI/ML Platform,Design,UX research & wireframes,Run discovery and produce low-fi wireframes,27.6,figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,2026-07-26T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,UX research & wireframes | Run discovery and produce low-fi wireframes | figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,2934ae7675c2e50d8bfe0eb43c89c4a589c8f34897ebb849fbdaf348ec9f6168
00000000-0000-0000-0000-000000000001,EMP-007-PRJ-002-design-system-contribution,EMP-007,PRJ-002,Energent AI (Data Platform),AI/ML Platform,Design,Design system contribution,Extend shared component library,18.4,figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,2026-07-23T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Design system contribution | Extend shared component library | figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,c5a609d08d04d717959afabf509525270ce9c82c0bd4dfe8953d65f491cc4818
00000000-0000-0000-0000-000000000001,EMP-007-PRJ-002-design-qa-with-engineering,EMP-007,PRJ-002,Energent AI (Data Platform),AI/ML Platform,Design,Design QA with engineering,Review implemented UI against specs,13.8,figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,2026-06-30T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Design QA with engineering | Review implemented UI against specs | figma|ux-research|ui-design|prototyping|design-system|data-platform|ml-platform,69a96847bf3a9b0ebff22c0cb3a09936319913f41848af39a8110952768bbc85
00000000-0000-0000-0000-000000000001,EMP-008-PRJ-002-requirements-elicitation,EMP-008,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BA,Requirements elicitation,Facilitate workshops and capture business needs,40.6,requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,2026-07-30T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Requirements elicitation | Facilitate workshops and capture business needs | requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,3ba8f8898d9a7377a2d23b85372eeb957f2fc1e6eff0d5dc0e03d0c102424ab5
00000000-0000-0000-0000-000000000001,EMP-008-PRJ-002-user-story-authoring,EMP-008,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BA,User story authoring,Write acceptance criteria for delivery teams,34.8,requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,2026-07-24T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,User story authoring | Write acceptance criteria for delivery teams | requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,2dec2e8f49631fc13c80f909a325010054a91abfce9252b564f76b172bad98b3
00000000-0000-0000-0000-000000000001,EMP-008-PRJ-002-process-mapping,EMP-008,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BA,Process mapping,Document as-is and to-be process flows,23.2,requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,2026-08-03T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,Process mapping | Document as-is and to-be process flows | requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,40e1b4c8201292a9c59d52b063c107e046b923d12b08b8881ad7683de17cd7e2
00000000-0000-0000-0000-000000000001,EMP-008-PRJ-002-uat-coordination,EMP-008,PRJ-002,Energent AI (Data Platform),AI/ML Platform,BA,UAT coordination,Support user acceptance testing and sign-off,17.4,requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,2026-07-26T17:00:00.000Z,0.75,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,UAT coordination | Support user acceptance testing and sign-off | requirements|user-stories|process-modelling|stakeholder-mgmt|confluence|data-platform|ml-platform,25d70cfaf867a59ed2961cd99fa972794de78f3954f9abbafea56f06be893354
00000000-0000-0000-0000-000000000001,EMP-009-PRJ-002-ui-component-development,EMP-009,PRJ-002,Energent AI (Data Platform),AI/ML Platform,FE,UI component development,Implement reusable React components from designs,36.8,react|typescript|css|frontend|vite|accessibility|data-platform|ml-platform,2026-07-04T17:00:00.000Z,0.9,derived_pmo02,2026-08-07T23:59:59.000Z,pmo02-recommendation-mock-v1,UI component development | Implement reusable React components from designs | react|typescript|css|frontend|vite|accessibility|data-platform|ml-platform,949a7eb66f98b4d71c9044bb08330db094429358bedba4c43917c324fe0e53ae
